Database,File Location,Database Type,Extra Arguments,Identifier,Description,Data Source,Link
refgene,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,gene,#NAME?,Refgene,RefGene,RefGene Gene Track,https://cgwb.nci.nih.gov/cgi-bin/hgTrackUi?hgsid=79902&c=chr21&g=refGene
knowngene,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,gene,#NAME?,KnownGene,UCSC gene database,UCSC Gene Track,http://genome.ucsc.edu/index.html
ensgene,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,gene,#NAME?,Ensgene,Ensembl gene database build 65,Ensembl Gene Track,http://genome.ucsc.edu/cgi-bin/hgTrackUi?hgsid=262093727&g=ensGene&hgTracksConfigPage=configure
cytoBand,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,,band,Cytogenetic bands,Cytoband UCSC Table,http://genome.ucsc.edu/cgi-bin/hgTrackUi?g=cytoBand&hgsid=262093513
dgvMerged,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,,dgv,DGV ID of merged variant or supporting variant,Dgv UCSC Table,http://projects.tcag.ca/variation/
evofold,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,,evofold,Score and name of EvoFold Predictions of RNA Secondary Structure,Evofold UCSC Table,http://genome.ucsc.edu/cgi-bin/hgTrackUi?hgsid=262093727&c=chr2&g=evofold
gwascatalog,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,,gwascatalog,NHGRI GWAS catalogue results if available,GwasCatalog UCSC Table,https://cgwb.nci.nih.gov/cgi-bin/hgTrackUi?hgsid=75297&g=gwasCatalog
mce46way,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,,mce46way,Vertebrate Multiz Alignment & Conservation across 46 Species (phastCons46way) Name of item and Score from 0-1000; ,Vertebrate Cons (phastCons46way) UCSC table,http://genome.ucsc.edu/cgi-bin/hgTrackUi?db=hg19&g=cons46way
gerp++elem,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,,Gerp++elem_RSscore,Rejected Substitution score (RS score) of contrained element by GERP++ program which identified 1.3 million constrained elements spanning over 7% of the human genome.,Gerp++ program from Sidow's lab (Pubmed ID 21152010),http://mendel.stanford.edu/SidowLab/downloads/gerp/
gerp++elem,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,-colsWanted 4,Gerp++elem_Pvalue,Pvalue of the Rejected Substitution score of contrained element,Gerp++ program from Sidow's lab (Pubmed ID 21152010),http://mendel.stanford.edu/SidowLab/downloads/gerp/
bed,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,-bedfile hg19_fordist_cleaned_exac_r03_march16_z_pli_rec_null_data.6col.txt -colsWanted 4,ExAC_r03_gene,GeneName_ExAC_r03,ExAC_r03_Constrain,ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3.1/functional_gene_constraint
bed,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,-bedfile hg19_fordist_cleaned_exac_r03_march16_z_pli_rec_null_data.6col.txt -colsWanted 5,ExAC_r03_pLI,Prob_LoF_Intolerant_Category_3,ExAC_r03_Constrain,ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3.1/functional_gene_constraint
bed,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,-bedfile hg19_fordist_cleaned_exac_r03_march16_z_pli_rec_null_data.6col.txt -colsWanted 6,ExAC_r03_mis_z,z score for deviation from observed to expected for mis-sense variant,ExAC_r03_Constrain,ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3.1/functional_gene_constraint
gerp++gt2,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,Gerp++gt2,whole-genome GERP++ scores greater than 2 (RS score threshold of 2 provides high sensitivity while still strongly enriching for truly constrained sites. ),Gerp++ program from Sidow's lab (Pubmed ID 21152010),http://mendel.stanford.edu/SidowLab/downloads/gerp/
mirna,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,,mirna,Name of miRNA,wgRNA UCSC Table,http://genome.ucsc.edu/cgi-bin/hgTrackUi?hgsid=262099033&g=wgRna&hgTracksConfigPage=configure
omimgene,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,,omimgene,Online Mendelian Inheritance in Man ID if available,Omimgene UCSC Table,http://www.omim.org/
genomicSuperDups,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,,segdup,Fraction of matching bases with indels located in segemental duplications; other chr regions involved (.90 or greater; percentage),GenomicSuperDups UCSC Table,http://www.genome.ucsc.edu/cgi-bin/hgTrackUi?g=genomicSuperDups&hgsid=262092763
tfbsConsSites,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,,tfbsConsSites,Location and score of transcription factor binding sites conserved in the human/mouse/rat alignment.,tfbsConsSites UCSC Table,http://www.genome.ucsc.edu/cgi-bin/hgTables?db=hg19&hgta_group=regulation&hgta_track=tfbsConsSites&hgta_table=tfbsConsSites&hgta_doSchema=describe+table+schema
1000g2015aug_all,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,--maf 0,Afalt_1000g2015aug_all,Alternative Allele Frequency in 1000 genomes full project 2015 Aug release (minor allele could be reference or alternative allele).,1000genome 2015 Aug,http://www.1000genomes.org/data
1000g2015aug_afr,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,--maf 0,Afalt_1000g2015aug_afr,Alternative Allele Frequency of African Ancestry in 1000 genomes full project 2015 Aug release (minor allele could be reference or alternative allele).,Afalt_1000g2015Aug_afr,http://psychiatry.igm.jhmi.edu/wiki/index.php/1000genomes_annotation_for_Annovar
1000g2015aug_amr,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,--maf 0,Afalt_1000g2015aug_amr,Alternative Allele Frequency of Admixed American in 1000 genomes full project 2015 Aug release (minor allele could be reference or alternative allele).,Afalt_1000g2015Aug_amr,http://psychiatry.igm.jhmi.edu/wiki/index.php/1000genomes_annotation_for_Annovar
1000g2015aug_eur,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,--maf 0,Afalt_1000g2015aug_eur,Alternative Allele Frequency of European Ancestry in 1000 genomes full project 2015 Aug release (minor allele could be reference or alternative allele).,Afalt_1000g2015Aug_eur,http://psychiatry.igm.jhmi.edu/wiki/index.php/1000genomes_annotation_for_Annovar
1000g2015aug_eas,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,--maf 0,Afalt_1000g2015aug_eas,Alternative Allele Frequency of East Asian Ancestry in 1000 genomes full project 2015 Aug release (minor allele could be reference or alternative allele).,Afalt_1000g2015Aug_asn,http://psychiatry.igm.jhmi.edu/wiki/index.php/1000genomes_annotation_for_Annovar
1000g2015aug_sas,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,--maf 0,Afalt_1000g2015aug_sas,Alternative Allele Frequency of South Asian Ancestry in 1000 genomes full project 2015 Aug release (minor allele could be reference or alternative allele).,Afalt_1000g2015Aug_asa,http://psychiatry.igm.jhmi.edu/wiki/index.php/1000genomes_annotation_for_Annovar
avsift,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,-sift 0,SiftScore,SIFT takes a query sequence and uses multiple alignment information to predict tolerated and deleterious substitutions for every position of the query sequence.  Positions with normalized probabilities less than 0.05 are predicted to be deleterious; those greater than or equal to 0.05 are predicted to be tolerated. ,SIFT,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC168916/
generic,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,#NAME?,AFalt_hg19_cg46,Alternative Allele Frequency in 46 samples sequenced by complete genomics,Complete Genomics,http://www.completegenomics.com/public-data/69-Genomes/
generic,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,#NAME?,AFalt_hg19_cg69,Alternative Allele Frequency in 69 samples sequenced by complete genomics,Complete Genomics,http://www.completegenomics.com/public-data/69-Genomes/
esp6500siv2_all,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,hg19_esp6500siv2_all,Alternate Allele Frequency in all the ~6500 NHLBI ESP Samples,EVS,http://evs.gs.washington.edu/EVS/
esp6500siv2_aa,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,hg19_esp6500siv2_aa,Alternate Allele Frequency in ~2203 NHLBI ESP African American Samples,EVS,http://evs.gs.washington.edu/EVS/
esp6500siv2_ea,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,hg19_esp6500siv2_ea,Alternate Allele Frequency in 4300 NHLBI ESP European American Samples,EVS,http://evs.gs.washington.edu/EVS/
cosmic70,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,cosmic70,cosmic ID and its occurance,Catalogue Of Somatic Mutations In Cancer(COSMIC) is an online database of somatic mutations found in human cancer,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2705836/
cosmic68wgs,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,cosmic68wgs,cosmic ID and its occurance,Catalogue Of Somatic Mutations In Cancer(COSMIC) is an online database of somatic mutations found in human cancer,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2705836/
ljb26_all,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,Score_Ljb_All,Functional prediction score for non-syn variants from all LJB databases (ljb_sift; ljb_mt; ljb_phylop;ljb_lrt;ljb_gerp++),dbNSFP (pubmed ID 21520341),http://www.ncbi.nlm.nih.gov/pubmed/21520341
ljb23_lrt,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,Score_Ljb_lrt,Functional prediction score for non-syn variants from LRT provided by dbNSFP (higher score represents functionally more deleterious. It ranges from 0 to 1. This score needs to be combined with other information prediction. If a threshold has to be picked up under some situation; 0.995 can be used as starting point.,dbNSFP (pubmed ID 21520341),http://www.ncbi.nlm.nih.gov/pubmed/21520341
ljb23_mt,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,Score_Ljb_mt,Functional prediction score for non-syn variants from Mutation Taster provided by dbNSFP  (higher score represents functionally more deleterious). The score ranges from 0 to 1. Similar to LRT; the prediction is not entirely depending on the score alone. But if a threshold has to be picked; 0.5 is the recommended as the starting point.  ,dbNSFP (pubmed ID 21520341),http://www.mutationtaster.org/FAQs.html
ljb23_phylop,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,Score_Ljb_phylop,Conservation score provided by dbNSFP which is re-scaled from original phylop score. The new score ranges from 0-1 with larger scores signifying higher conservation. A recommended cutoff threshold is 0.95. If the score > 0.95; the prediction is 'conservative'. if the score <0.95; the prediction is 'non-conservative'.,dbNSFP (pubmed ID 21520341),http://www.ncbi.nlm.nih.gov/pubmed/21520341
ljb23_pp2hdiv,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,Score_Ljb_pp2hdiv,Functional prediction score for non-syn variants from Polyphen2 provided by dbNSFP (higher score represents functionally more deleterious). Scores greater than .85 are 'probably damaging'; scores from 0.15-0.85 are 'possibly damaging'; and scores below 0.15 are 'benign'.,dbNSFP (pubmed ID 21520341),http://www.ncbi.nlm.nih.gov/pubmed/20354512
ljb23_pp2hvar,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,Score_Ljb_pp2hvar,Functional prediction score for non-syn variants from Polyphen2 provided by dbNSFP (higher score represents functionally more deleterious). Scores greater than .85 are 'probably damaging'; scores from 0.15-0.85 are 'possibly damaging'; and scores below 0.15 are 'benign'.,dbNSFP (pubmed ID 21520341),http://www.ncbi.nlm.nih.gov/pubmed/20354512
ljb23_gerp++,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,Score_Ljb_gerp++,Re-scaled exonic variant Gerp++ scores ,dbNSFP (pubmed ID 21520341; 21152010),http://www.ncbi.nlm.nih.gov/pubmed/21520341
snp126,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,snp126,dbSNP126 ID if variant in dbSNP126 after lifting over,snp126 in hg18 from UCSC ,http://genome.ucsc.edu/cgi-bin/hgTables?hgsid=288963213&hgta_doSchemaDb=hg18&hgta_doSchemaTable=snp126
snp129,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,snp129,dbSNP129 ID if variant in dbSNP126 after lifting over,snp129 from ANNOVAR,http://genome.ucsc.edu/cgi-bin/hgTables?hgsid=288963213&hgta_doSchemaDb=hg18&hgta_doSchemaTable=snp129
snp131,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,snp131,dbSNP131 ID if variant is in dbSNP131,snp131 from ANNOVAR,http://www.ncbi.nlm.nih.gov/mailman/htdig/dbsnp-announce/2010q1/000094.html
snp132,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,snp132,dbSNP132 ID if variant is in dbSNP132,snp132 from ANNOVAR,http://www.ncbi.nlm.nih.gov/mailman/htdig/dbsnp-announce/2010q4/000097.html
snp135,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,snp135,dbSNP135 ID if variant is in dbSNP135,snp135 from ANNOVAR,http://www.ncbi.nlm.nih.gov/mailman/htdig/dbsnp-announce/2011q4/000108.html
snp135,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,-colsWanted 22,snp135_Allele,Allele of snp,snp135 from ANNOVAR,http://genome.ucsc.edu/cgi-bin/hgTables?hgsid=262788795&hgta_doSchemaDb=hg19&hgta_doSchemaTable=snp135Common
snp135,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,-colsWanted 24,snp135_Frequency,Allele frequency of snp,snp135 from ANNOVAR,http://genome.ucsc.edu/cgi-bin/hgTables?hgsid=262788795&hgta_doSchemaDb=hg19&hgta_doSchemaTable=snp135Common
snp135Common,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,snp135_Common,Variants from dbSNP135 with MAF >= 1% and mapping only once to reference assembly. As frequency information are not available for all SNPs in dbSNP135; this subset is incomplete,snp135Common from UCSC table,http://genome.ucsc.edu/cgi-bin/hgTables?hgsid=262788795&hgta_doSchemaDb=hg19&hgta_doSchemaTable=snp135Common
snp135Mult,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,snp135_MultAl,Variants from dbSNP135 that map to more than one place on reference genome. ,snp135Mult from UCSC table,http://genome.ucsc.edu/cgi-bin/hgTables?hgsid=262788795&hgta_doSchemaDb=hg19&hgta_doSchemaTable=snp135Mult
snp135Flagged,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,-colsWanted 4,snp135_ClinAssoID,RS number for SNPs reported to have clinical association,snp135Flagged from UCSC table,http://genome.ucsc.edu/cgi-bin/hgTables?db=hg19&hgta_group=varRep&hgta_track=snp135Flagged&hgta_table=snp135Flagged&hgta_doSchema=describe+table+schema
snp135Flagged,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,-colsWanted 25,snp135_ClinAssoSubmit,Submission fnformation for SNPs reported to have clinical association,snp135Flagged from UCSC table,http://genome.ucsc.edu/cgi-bin/hgTables?db=hg19&hgta_group=varRep&hgta_track=snp135Flagged&hgta_table=snp135Flagged&hgta_doSchema=describe+table+schema
simpleRepeat,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,,simpleRepeat,STR from UCSC browser,simpleRepeat from UCSC table,http://genome.ucsc.edu/cgi-bin/hgTables?db=hg19&hgta_group=varRep&hgta_track=simpleRepeat&hgta_table=simpleRepeat&hgta_doSchema=describe+table+schema
snp137,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,snp137,dbSNP137 ID if variant in dbSNP137,snp137 from ANNOVAR,http://www.ncbi.nlm.nih.gov/mailman/pipermail/dbsnp-announce/2012q2/000122.html
snp138,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,snp138,dbSNP138 ID if variant in dbSNP138,snp138 from ANNOVAR,http://www.ncbi.nlm.nih.gov/news/08-22-2013-dbsnp-release138/
